Date,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Walking duration (ms),Running duration (ms),Strength training duration (ms)
2024-09-15,,1843.2334781389932,,,,82.97777777777777,103.0,67.0,,,,1463,99.0,99.0,99.0,,,
2024-09-16,67,2240.8290275721865,1534.175469247112,65.0,65,81.44425087108014,166.0,53.0,0.32707403622916204,1.2301255230125523,0.0,5561,,,,,717000,3287000
2024-09-17,64,2242.386403160962,0.0,64.0,64,81.19337979094077,109.0,51.0,0.0,0.0,0.0,4388,,,,,,3931000
2024-09-18,60,2186.0612237995147,0.0,60.0,60,82.07142857142857,125.0,51.0,0.0,0.0,0.0,3776,,,,,,3665000
2024-09-19,57,2049.3280062345166,0.0,57.0,57,83.17073170731707,124.0,49.0,0.0,0.0,0.0,2911,,,,,,3465000
2024-09-20,,1843.2500119209292,,,,80.2560975609756,126.0,50.0,,,,3317,,,,,,
2024-09-21,73,2513.16950190447,33.0,73.0,73,76.50541516245487,137.0,49.0,0.015068493150684932,0.030136986301369864,0.0,3879,,,,1095000,,4393000
2024-09-22,33,2014.4169040179581,1339.0,,,78.82536764705883,136.0,57.0,0.699582027168234,0.699582027168234,0.699582027168234,5489,,,,1914000,,
2024-09-23,,1843.250011920929,,,,77.77700348432056,106.0,56.0,,,,1916,,,,,,
2024-09-24,71,2206.7088886501833,1655.1493787253082,70.0,70,80.85739436619718,138.0,54.0,0.2235869924554663,1.1850220264317182,0.0,5162,,,,681000,,3563000
2024-09-25,64,2177.0504483106124,1666.000126887813,62.0,62,78.86236933797909,129.0,51.0,0.34298603215102647,1.1943620178041543,0.0,6057,,,,674000,,3179000
2024-09-26,,1843.2500119209294,,,,90.76923076923077,107.0,63.0,,,,1193,,,,,,
2024-09-27,85,2201.977713760524,695.2254755915027,85.0,85,85.95104895104895,115.0,52.0,0.12838104646505302,0.25676209293010605,0.0,5598,,,,,,5122000
2024-09-28,32,2038.1182292475082,1141.0,,,82.73239436619718,133.0,54.0,0.591804979253112,0.591804979253112,0.591804979253112,8372,,,,1928000,,
2024-09-29,,1843.250011920929,,,,71.55693950177935,108.0,49.0,,,,3210,,,,,,
2024-09-30,,1843.250011920929,,,,86.46520146520146,107.0,65.0,,,,2750,,,,,,
2024-10-01,,1843.2500119209285,,,,83.06896551724138,108.0,67.0,,,,1126,,,,,,
2024-10-02,91,2273.0015244792953,887.0,89.0,89,84.41811846689896,123.0,52.0,0.6009485094850948,1.2018970189701896,0.0,6788,,,,738000,,4711000
2024-10-03,90,1156.75605112126,1291.1649822832653,57.0,57,79.38698630136986,129.0,56.0,0.41512328975057455,1.169250645994832,0.0,6692,,,,774000,,3497000
